0,-0.1,0.2,2.109
8.7,4.4,0.3,1.99
4.1,4.4,0.4,2.445
2.2,8.1,0.5,2.426
0,8.5,0.5,2.314
0,9.5,0.5,2.063
21.6,8.6,0.5,2.106
7.8,3.2,0.3,5.129
5.3,1,0.2,4.358
0.1,-1.3,0.1,3.895
5.9,-2.1,0.1,3.482
6.2,-4.7,0,3.066
5.9,-0.8,0.2,2.877
3,1.6,0.3,3.212
0,2.9,0.3,3.34
0,7.7,0.5,3.158
1.7,7.2,0.5,3.224
0.4,4.1,0.4,3.247
0,3,0.3,2.966
0,3,0.3,2.85
0,3.9,0.4,2.838
0,2.3,0.3,2.626
0,2,0.3,2.268
1.4,5.1,0.5,2.16
9.2,7.1,0.6,2.256
20.7,3.7,0.4,3.174
15.4,0.7,0.3,3.972
22.6,1.9,0.3,6.556
1.9,-2.7,0.1,7.713
0.5,-6.2,0,5.322
0,-7.1,0,4.396
0.5,-4.8,0,3.741
1.2,0.3,0.3,3.506
0.7,1.3,0.3,3.108
10,3.7,0.5,3.062
15.5,2.8,0.4,5.515
18.9,0.2,0.3,4.975
6.2,-1.2,0.2,6.363
9,-3.5,0.1,5.36
0.2,-4.5,0,4.628
2.6,-6.1,0,3.934
0.9,-5.1,0,3.517
0,-8.8,0,3.089
0.1,-7.7,0,2.73
0,-3.7,0.1,2.568
0.7,-3.1,0.1,2.514
5.2,0.4,0.4,2.491
14,-0.9,0.3,2.549
10.8,1,0.4,2.553
32.8,4.7,0.7,9.255
13,5.9,0.8,32.279
37.1,3.6,0.6,25.067
6.1,-0.8,0.3,24.758
6.4,-1.2,0.3,14.153
5.6,-0.9,0.3,9.68
0,-2.9,0.2,7.482
0,-0.3,0.3,6.17
2.2,4.8,0.8,5.476
0,2.7,0.6,5.515
13.9,4.6,0.8,5.322
8.1,7.2,1,9.68
12.7,6,0.9,11.222
1.5,2.4,0.6,11.878
6.4,1.2,0.5,9.757
0.5,-0,0.4,8.021
2.7,-0,0.4,6.672
40.7,0,0.4,6.826
20.5,4.1,0.8,19.514
5.4,5.9,1,16.004
0,3.7,0.8,11.531
0,7.3,1.1,9.024
0,8.9,1.3,7.52
0,7.8,1.2,6.44
0,6.2,1.1,5.63
0,3.8,0.8,5.013
0,1.4,0.6,4.551
1,1.6,0.7,4.281
1,2.3,0.7,3.934
0,1.5,0.7,3.552
10.8,2.4,0.8,3.317
10.5,1.9,0.7,4.204
4.6,2.3,0.8,3.934
0,5.8,1.1,3.752
0.1,6.9,1.3,3.344
6.4,7.8,1.4,3.209
23.6,2.4,0.8,4.049
0.3,1.5,0.7,4.473
0,3,0.9,4.088
